P-value,Test,Generator,n
0.9767259304855863,poker,Ziff,1000
0.742088251428605,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
0.02025858031659371,Furier,GLCG,1000
0.9929967318765329,KS,RC,1000
0.0024784773503782054,Chi,RC,1000
0.7716705035436164,Furier,RC,1000
0.012924991796232743,KS,Ziff,1000
0.982613131251695,Chi,Ziff,1000
0.38398816339805664,Furier,Ziff,1000
0.7675432954551666,KS,Marsagli,1000
0.33104639232768185,Chi,Marsagli,1000
0.04222117524716241,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.5957300672793215,poker,RC,1000
0.742088251428605,poker,Ziff,1000
0.3010216123885674,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
0.5616577150130424,Furier,GLCG,1000
0.993360301507198,KS,RC,1000
0.019269248684523732,Chi,RC,1000
0.5616577150130424,Furier,RC,1000
0.1962106501059787,KS,Ziff,1000
0.6584147101823382,Chi,Ziff,1000
0.04222117524716241,Furier,Ziff,1000
0.6682322879384318,KS,Marsagli,1000
0.2640235908688301,Chi,Marsagli,1000
0.5616577150130424,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.9528378790911354,poker,RC,1000
0.9767259304855863,poker,Ziff,1000
0.742088251428605,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
0.08165851558521563,Furier,GLCG,1000
0.9952031869316423,KS,RC,1000
0.03921034423545,Chi,RC,1000
0.5616577150130424,Furier,RC,1000
0.547213326663941,KS,Ziff,1000
0.6801622331971304,Chi,Ziff,1000
0.38398816339805664,Furier,Ziff,1000
0.44696852453860836,KS,Marsagli,1000
0.10327501527573846,Chi,Marsagli,1000
0.24573870033984926,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.8669965065393309,poker,RC,1000
0.9999946943818305,poker,Ziff,1000
0.9644783232690741,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
1.0,Furier,GLCG,1000
0.8373574845521653,KS,RC,1000
0.4259849834249386,Chi,RC,1000
0.146793087308571,Furier,RC,1000
0.16977615851286199,KS,Ziff,1000
0.9960467485064431,Chi,Ziff,1000
0.5616577150130424,Furier,Ziff,1000
0.7213220503922155,KS,Marsagli,1000
0.22574103554738523,Chi,Marsagli,1000
0.5616577150130424,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.02478129706743948,poker,RC,1000
0.9999946943818305,poker,Ziff,1000
0.9767259304855863,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
0.7716705035436164,Furier,GLCG,1000
0.9691426137206007,KS,RC,1000
0.0005031967774403734,Chi,RC,1000
0.7716705035436164,Furier,RC,1000
0.8348252260962108,KS,Ziff,1000
0.4454650619130124,Chi,Ziff,1000
0.7716705035436164,Furier,Ziff,1000
0.07438920804325255,KS,Marsagli,1000
0.9502972888796434,Chi,Marsagli,1000
0.146793087308571,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.2178205168839834,poker,RC,1000
0.742088251428605,poker,Ziff,1000
0.742088251428605,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
0.08165851558521563,Furier,GLCG,1000
0.9999259198998336,KS,RC,1000
0.000385578365272643,Chi,RC,1000
1.0,Furier,RC,1000
0.10457886917184644,KS,Ziff,1000
0.9513289211202625,Chi,Ziff,1000
0.7716705035436164,Furier,Ziff,1000
0.05011756776972598,KS,Marsagli,1000
0.34931966072734943,Chi,Marsagli,1000
0.5616577150130424,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.956932941470832,poker,RC,1000
0.742088251428605,poker,Ziff,1000
0.3010216123885674,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
0.24573870033984926,Furier,GLCG,1000
0.999999454006389,KS,RC,1000
9.300808011047934e-05,Chi,RC,1000
0.38398816339805664,Furier,RC,1000
0.9423951785879312,KS,Ziff,1000
0.16510569648083462,Chi,Ziff,1000
0.5616577150130424,Furier,Ziff,1000
0.5741546380451542,KS,Marsagli,1000
0.418553707699551,Chi,Marsagli,1000
0.5616577150130424,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.4004805896406809,poker,RC,1000
0.6975746165954975,poker,Ziff,1000
0.9999946943818305,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
0.7716705035436164,Furier,GLCG,1000
0.9577749679914482,KS,RC,1000
0.05621326633492385,Chi,RC,1000
0.38398816339805664,Furier,RC,1000
0.14009686721815806,KS,Ziff,1000
0.9908645009464886,Chi,Ziff,1000
0.24573870033984926,Furier,Ziff,1000
0.033576851456909584,KS,Marsagli,1000
0.7889003194576165,Chi,Marsagli,1000
0.5616577150130424,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.9432360997649141,poker,RC,1000
0.9767259304855863,poker,Ziff,1000
0.9767259304855863,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
0.04222117524716241,Furier,GLCG,1000
0.7929755417341757,KS,RC,1000
0.036142261113235485,Chi,RC,1000
0.5616577150130424,Furier,RC,1000
0.21296362578153327,KS,Ziff,1000
0.3168807420514028,Chi,Ziff,1000
1.0,Furier,Ziff,1000
0.5709268387993864,KS,Marsagli,1000
